excel_row,excel_index,excel_name,normalized_name,credit_rating,occupation_formula,occupation_skills,contacts_present,description_source_hint,classification,official_family_key,matched_source_entries,mechanics_match,setting_or_source_hint,duplicate_group,recommended_action,confidence,notes
89,87,飞行员-飞行员,飞行员,20-70,教育×2＋敏捷×2,电气维修，机械维修，导航，操作重型机械，驾驶（飞行器），科学（天文），任意两项其他个人或时代特长。,yes,"飞行员可以在美国邮政这样的企业工作，也可以在大大小小的民航公司做飞行人员。
美国1926 年之前没有对飞行员的职业要求，1926 年航空商业法案通过之后才要求有执照。这个时代的多数飞行员从事嘉年华表演、特技飞行表演、乘飞机游玩或是小机场的空中的士等服务。
也有飞行员在部队服现役。许多特技飞行员是在服役期间学会的驾驶飞机，有时仍然会被军队委派任务。",confirmed-standard-variant,pilot,handbook-87-pilot,yes,Investigator Handbook,,map-to-source-variant,high,
90,88,飞行员-特技飞行员（古典）,特技飞行员（古典）,30-60,教育×4,会计，电气维修，聆听，机械维修，导航，驾驶（飞行器），侦查，任意一项其他个人或时代特长。,yes,"特技飞行员在嘉年华工作或者为大胆的消费者进行休闲飞行服务。参加有组织的飞行表演赛，不论是固定路线还是越野赛，往往都可以增加自己的知名度。在1920 年代，好莱坞常常使用特技飞行员，飞机制造商也会录用一些飞行员为新机作测试。许多特技飞行员是在一次大战中掌握的飞行技术，所以许多人仍然在陆海空军或海岸警卫队服役；年轻的飞行员则基本上是在和平时期接受的训练或是自学成才。
参加过一战的王牌飞行员“现在”还活跃在公众视野中的包括：埃迪·里肯巴克，现在在克赖斯勒公司工作；汤米·希区柯克，“现在”是马球赛场的明星；里德·兰迪斯，美国职棒大联盟执行长凯纳索·蒙顿·兰迪斯的儿子。",confirmed-standard-variant,pilot,handbook-87-aviator-stunt-pilot,yes,Investigator Handbook,,map-to-source-variant,high,
91,89,警方(原作向)-警探,警探,20-50,教育×2＋力量或敏捷×2,技艺（表演）或乔装，射击，法律，聆听，一项社交技能（取悦、话术、恐吓、说服），心理学，侦查，一项其他技能。,yes,"便衣警察的工作是检查犯罪现场、收集证据、询问证人以解决凶杀、盗窃等重大案件。他们在现场办案中往往与穿制服的巡警密切合作。
警探可能指挥他的下属进行详尽的调查，但是很难有机会集中精力对付单独一个事件，在美国他们很可能要同时处理数十乃至上百的案件。警探工作最关键的部分是通过梳理证词、重建现场情况，摒弃伪证，从而收集足够逮捕嫌疑人的证据，进而促成成功的刑事审判。警探和检察官的职责是分开的，这样可以保证证据在审判之前被独立地对待。
尽管现在警探通常会参加警察学校课程并获得学位、参加特殊训练或公务员培训，他们最主要的经验还是来源于担任基层警官或者普通巡警时的工作经历。",confirmed-standard-variant,police,handbook-87-police-detective,yes,Investigator Handbook,,map-to-source-variant,high,
92,90,警方(原作向)-巡警,警官,9-30,教育×2＋力量或敏捷×2,格斗（斗殴），射击，急救，一项社交技能（取悦、话术、恐吓、说服），法律，心理学，侦查和下面的一种个人特长：汽车驾驶或骑乘。,yes,巡警属于市、城镇、县治安部门或州、地区的警察机关。他们工作时可能步行、驾驶巡逻车，或者干脆坐办公室。,confirmed-standard-variant,police,handbook-87-uniformed-police-officer,yes,Investigator Handbook,,map-to-source-variant,high,
93,91,私家侦探,私家侦探,9-30,教育×2＋力量或敏捷×2,技艺（摄影），乔装，法律，图书馆，一项社交技能（取悦、话术、恐吓、说服），心理学，侦查，一项其他个人或时代特长（如计算机、锁匠、格斗、射击）。,yes,"私家侦探通常在警察不出手的地方活跃，包括收集证据为客户准备民事诉讼，追查跑路的配偶或生意伙伴，或者代理刑事案件的私人辩护。他们和任何专业人员一样，私家侦探从不顾及自己的私人情感，只要付钱，不管是有罪还是无罪的一方的委托他们都乐得接受。
私家侦探过去可能在警察队伍里工作，利用以前的业务关系为现在工作谋求优势；然而事实并非总是如此。在许多地方私家侦探必须持证上岗，假如被发现有违法行为，就会撤销执照——侦探生涯也就到此为止。",confirmed-standard,private-investigator,handbook-87-private-investigator,yes,Investigator Handbook,same-name:私家侦探,map-to-canonical-family,high,
94,92,教授（原作向）,教授（原作向）,20-70,教育×4,图书馆，外语，母语，心理学，任意四项其他学术、时代或个人特长。,yes,"教授是受聘于高等院校的学者。大公司也可 能聘请他们以开展学术研究与产品开发。独立的学者也靠开办业余课程作为经济来源。
最重要的一点,这一职业代表了 PhD(博士) 的荣誉称号,意味着可以在世界各地的大学任终身教职。教授的专长是教学和专业研究,往往在自己的专业领域内有着可圈可点的学术成就。",confirmed-standard,professor,handbook-87-88-professor,yes,Investigator Handbook,,map-to-canonical-family,high,
95,93,淘金客,淘金客,0-10,教育×2＋力量或敏捷×2,攀爬、急救、历史、机械维修、导航、科学（地质），侦查，任意一项其他个人或时代特长。,yes,"淘金客一直是美国西部的特色,即便在加利福尼亚淘金热和内华达康姆斯塔克发现金银矿的日子早已经过去的现在。他们无休止地在山间漫游,寻找能使自己一夜暴富的矿脉。而且现在发现石油和发现金子一样给力。",confirmed-standard,prospector,handbook-88-prospector,yes,Investigator Handbook,,map-to-canonical-family,high,
96,94,性工作者,性工作者,5-50,教育×2＋外貌×2,技艺（任一），两项社交技能（取悦、话术、恐吓、说服），闪避，心理学，妙手，潜行，任意一项其他个人或时代特长。,yes,"性工作者根据场合、背景和教养,从超级值钱的应召小姐到牛郎再到站街女都有可能。往往入这一行都是权宜之计,许多人梦想有朝一日能够脱身。少数人能够自己接客,不过绝大多数人 基本都是被只认钱不认人的老鸨和皮条客逼迫着 工作。",confirmed-standard,sex-worker,handbook-88-prostitute,yes,Investigator Handbook,,map-to-canonical-family,high,
97,95,精神病学家,精神病学家,30-80,教育×4,外语，聆听，医学，说服，精神分析，心理学，科学（生物学，化学）。,yes,"精神病学家是在现代专门从事精神失常诊断和治疗的医生。精神病学家掌握着精神药理学的 治疗方法,使用精神类药物的资质,还能整理脑电图并对其进行计算器分析。
在十九二十世纪之交,精神分析理论刚刚产 生,试图解释一些现在认为实际上是生物学范畴的现象。所以,精神分析学家们努力寻求获得自 己的医疗证书。与此同时,各种不同的精神失常诊断与治疗理论开始起步。到 1930 年代,任何一个医生都可以以精神病学家的身份进入美国医学协会名录中了。",confirmed-standard,psychiatrist,handbook-88-psychiatrist,yes,Investigator Handbook,,map-to-canonical-family,high,
98,96,心理学家、精神分析学家,心理学家、心理分析学家,10-40,教育×4,会计，图书馆，聆听，说服，精神分析，心理学，任意两项其他学术、个人或时代特长。,yes,"心理学家虽然也经常被叫做心理治疗师和心理咨询师,不过这些工作都只是心理学的分支。其他的还有为企业和政府提供顾问的组织管理心 理学家,进行研究并在学校教授心理学的学术型心理学家等等。
临床心理学家可能实际接触病人,并且运用各种可能的心理治疗方法。注意心理学家和专业的精神病学家的区别,后者本质上还是医生。
在1920 年代,对人类行为的研究还是一个新兴的领域,主要的理论还是弗洛伊德心理学。",confirmed-standard,psychologist-psychoanalyst,handbook-88-psychologist-psychoanalyst,yes,Investigator Handbook,,map-to-canonical-family,high,
99,97,研究员,研究员,9-30,教育×4,历史，图书馆，一项社交技能（取悦、话术、恐吓、说服），外语，侦查，任意三项其他学术领域。,yes,"学术界的研究课题不计其数,尤其是在天文 学、物理学和其他理论领域。私人或企业也雇用 了成千上万的研究员,重点在化学、制药和工程 领域。石油公司则会聘用专业的地质学家,不一 而足。研究员大部分的时间都在室内工作和写作, 不过有的则会经常外出考察。
考察研究员通常经验丰富,思想独立又足智 多谋,可能受雇于私人或者为大学进行学术研究。
石油公司会派出地质学家探索潜在的油田, 人类学家则是调查地球被人遗忘角落的原始部落, 考古学家则竭数年之力挖掘沙漠丛林之中的宝藏, 还要和工人与地方政府打交道。",confirmed-standard,researcher,handbook-89-researcher,yes,Investigator Handbook,,map-to-canonical-family,high,
100,98,海员-军舰海员,军舰海员,9-30,教育×2＋敏捷或力量×2,电工或机械维修，格斗，射击，急救，导航，驾驶（船），生存（海上），游泳。,yes,"新入伍的海员像陆军的同行一样,开始时需 要接受基本的训练。这之后他们获得军衔,并被 分配到各镇守府。虽然很多海员担任像水手长副手和司炉工(管理引擎)这样的传统角色,但是也有很多经过专门训练的机械师、无线电操作员、通风管理员之类。海员们最高的军衔是士官长, 达到了这个军衔连高级将领都要礼让三分。在美国,海员通常要服四年的现役和后两年的后备役, 即在国家发布动员令时有应召服役的义务。",confirmed-standard-variant,sailor,handbook-89-sailor-naval,yes,Investigator Handbook,,map-to-source-variant,high,
101,99,海员-民船海员,民用船海员,20-40,教育×2＋敏捷或力量×2,急救，机械维修，自然，导航，一项社交技能（取悦、话术、恐吓、说服），驾驶（船），侦查，游泳。,yes,"民用船海员可能在渔船、客船,或运输原油或商品的运输船上工作。在美国,客船活跃在东西海岸和五大湖,运送渔民和游客。目前佛罗里达州在墨西哥湾和大西洋海岸拥有最多数量的客 船。
在禁酒令期间,许多客船船长发现把急切想 喝酒的顾客运到 3 海里外,外国船只允许卖酒的地方是一桩赚钱的买卖。当然走私酒也报酬丰厚, 但是危险就高多了。",confirmed-standard-variant,sailor,handbook-89-sailor-commercial,yes,Investigator Handbook,,map-to-source-variant,high,
102,100,推销员,推销员,9-40,教育×2＋外貌×2,会计，两项社交技能（取悦、话术、恐吓、说服），汽车驾驶，聆听，心理学，潜行或妙手，一项其他技能。,yes,"推销员是商务工作的必需一环,他们的工作就是推广和销售公司的产品或服务。大部分推销员的时间要用来旅行、开会、和客户应酬(在报销限额之内)。有些则主要坐办公室用电话联系 潜在客户,还有的会在各小区巡回,挨家挨户上门推销。
1920 年代是企业家的年代,旅行推销成了一种日常生活方式。这些人有些直接现货交易,有些通过托销交易,当然不管黑猫白猫,拿到订单的才是好猫,推销员要用强烈的销售策略才能说得客户,至于价钱就不是他们考虑的范围了。有些推销员在固定的地区工作,有些则可以自由漫 游,寻找任何地方可能出现的商机。如果是上门推销,那商品可能就是刷子、吸尘器或者百科全书之类的各种对象了。",confirmed-standard,salesperson,handbook-89-salesperson,yes,Investigator Handbook,,map-to-canonical-family,high,
103,101,科学家,科学家,9-50,教育×4,任意三项科学专业领域，计算机或图书馆，外语，母语，一项社交技能（取悦、话术、恐吓、说服），侦查。,yes,"科学家是在追求知识的过程中挖掘真理的人。如果想要利用科学知识制造有用的物品,需要的 是工程师;而如果想要扩展“可能”这个概念的范围,那就是科学家的工作了。
科学家们通常在企业和大学工作,以进行他们的研究。
虽然主攻一个科学领域,但是真正称职的科 学家一般也能达到通晓其他数个科学领域的水平。他们对自己的母语也能使用自如,学历也相当高, 甚至拥有博士学位。",confirmed-standard,scientist,handbook-89-scientist,yes,Investigator Handbook,same-name:科学家,map-to-canonical-family,high,
104,102,秘书,秘书,9-30,教育×2＋敏捷或外貌×2,会计，技艺（打字或速记），两项社交技能（取悦、话术、恐吓、说服），母语，图书馆或计算机，心理学，任意一项其他个人或时代特长。,yes,"秘书的范围是从高薪的私人管理助理到普通的打字员。这份工作的重点在于以自己各种沟通 协调能力,支持主管和经理人员。
因为身处企业流程的中心,许多秘书比老板对企业的内部运作和经营还要熟悉。
在 1920 年代,秘书工作主要是通信工作,例如听写打印信件,整理文文件系统,并为老板安排 会议时间。有的情况下,秘书还会负责老板的生活, 比如安排假期、为老板和家人置办礼物,还有保 护老板的安全。",confirmed-standard,secretary,handbook-90-secretary,yes,Investigator Handbook,,map-to-canonical-family,high,
105,103,店老板,店老板,20-40,教育×2＋外貌或敏捷×2,会计，两项社交技能（取悦、话术、恐吓、说服），电气维修，聆听，机械维修，心理学，侦查。,yes,"店老板经营小店、市场摊位或者是小饭馆。这种店往往都是小本自营,不过也有为其他东家照顾生意的。不少店是家族式管理,工作人员大 部分都有亲属关系,其他的雇员即便有也很少。
在 1920 年代,还有不少的老板娘开起了自己的理发店和帽店。",confirmed-standard,shopkeeper,handbook-90-shopkeeper,yes,Investigator Handbook,,map-to-canonical-family,high,
106,104,士兵、海军陆战队士兵,士兵、海军陆战队士兵,9-30,教育×2＋力量或敏捷×2,攀爬或游泳，闪避，格斗，射击，潜行，生存，下面任选两项：急救、机械维修、外语。,yes,"士兵指的是从列兵到士官长(美国军衔制) 的统称。尽管名义上比起最新的次级少尉还低, 即便高级军官也往往对他们给予尊重。在美国, 标准的服役期限是六年,包括四年现役和两年后 备役。
所有应征人员首先要在“训练营(新兵连)” 接受基本训练,在训练营中新兵将学习如何行军、 射击和敬礼。结束训练营的训练后,大部分的新兵会分配到步兵营,虽然也有分配到炮兵营和坦 克营的。少部分会接受非战斗的训练,例如通风 系统、机械装备、文职甚至军官接待。海军陆战队名义上属于海军,但是和陆军士兵在背景、训练方式和技能方面都很相近。",confirmed-standard,soldier-marine,handbook-89-90-soldier-marine,yes,Investigator Handbook,,map-to-canonical-family,high,
107,105,间谍,间谍,20-60,教育×2＋外貌或敏捷×2,技艺（表演）或乔装，射击，聆听，外语，一项社交技能（取悦、话术、恐吓、说服），心理学，妙手，潜行。,yes,"间谍为国家和组织的情报部门卖命。他们能以从大使到厨房清洁工的任何职业身份作为掩饰,刺探他们所需的情报。有些间谍数年如一日的持续着卧底工作,另一些穿个马甲就换一个身份。
在本国委任的间谍通常会去往外国工作。间谍除了情报收集和反情报收集的主要工作, 也会被委派其他任务,例如招募新间谍和国家批 准的暗杀等。",confirmed-standard,spy,handbook-90-spy,yes,Investigator Handbook,,map-to-canonical-family,high,
108,106,学生、实习生,学生、实习生,5-10,教育×4,语言（母语或外语），图书馆，聆听，三个学习的专业，任意两项其他个人或时代特长。,yes,"学生可能在大学或学院学习,实习生则是正在接受宝贵的入职培训,获得最低报酬的公司员 工。",confirmed-standard,student-intern,handbook-90-student-intern,yes,Investigator Handbook,,map-to-canonical-family,high,
109,107,替身演员,替身演员,10-50,教育×2＋力量或敏捷×2,攀爬，闪避，电气维修或机械维修，格斗，急救，跳跃，游泳，下面任选一项：潜水、汽车驾驶、驾驶（任一），骑乘。,yes,"替身演员在电影和电视剧工业中活跃,专门 模拟坠楼、车祸等灾难场景。他们通常会接受格 斗技巧和舞台格斗的训练。任何的替身特技表演 都是有风险的,所以健康和安全是这个工作的核心元素。
在现代,替身演员基本都是工会的成员,想要加入工会,他们必须有证明自己能力的证书(例 如高级驾驶执照,潜水执照等等)。而且,所有 的特技场景还要有特技总监负责指导动作。但是在 1920 年代,这些演员组织、行业规范根本就没有成型,所以事故率和死亡率居高不下。",confirmed-standard,stunt-performer,handbook-90-stuntman,yes,Investigator Handbook,,map-to-canonical-family,high,
110,108,部落成员,部落成员,0-15,教育×2＋力量或敏捷×2,攀爬，格斗或投掷，聆听，自然，神秘学，侦查，游泳，生存（任一）。,yes,"至少,从家族忠诚来说,部落文化无处不在。在部落中,亲属关系和传统习俗的首䙳地位是不言而喻的。一个部落通常来说是一个相对较小的群体。相比起法律和个人权利,部落更加依据个人荣耀而裁定行为。崇拜、复仇、嘉奖以及荣耀－－所有的一切都是部落成员个人所有的,而如果领袖或是仇敌被视为有荣耀的人,那么他们个人也必然在某种程度上十分有名。在这样的环境下, 放逐是有着实际的效用在的。",confirmed-standard,tribe-member,handbook-91-tribe-member,yes,Investigator Handbook,,map-to-canonical-family,high,
111,109,殡葬师,殡葬师,20-40,教育×4,会计，汽车驾驶，一项社交技能（取悦、话术、恐吓、说服），历史，神秘学，心理学，科学（生物学，化学）。,yes,"殡葬师又叫殡葬业者或葬礼主持人,是负责运行丧葬仪式的职业。工作也包含土葬和火化等内容。在葬礼上,殡葬师要进行防腐、裹衣、入殓、 遗体美容等等工作。
殡葬师的执照由各州发放。他们可能自己拥有殡仪馆,或者在别人的殡仪馆工作。",confirmed-standard,undertaker,handbook-91-undertaker,yes,Investigator Handbook,,map-to-canonical-family,high,
112,110,工会活动家,工会活动家,5-50,教育×4,会计，两项社交技能（取悦、话术、恐吓、说服），格斗（斗殴），法律，聆听，操作重型机械，心理学。,yes,"工会活动家是组织者、领导者,有时也是空 想者或者别有用心的抗议者,通常是工人的伙伴、 老板的对头。各行各业都有工会,不论是码头工人、 建筑工人、矿工还是演员。
在 20 世纪早期,工会活动家所在的工会面临着诸多危险。大企业想要毁掉它,政治家在支持它和谴责它之间摇摆不定,社会主义者和共产主义者试图影响它,还有犯罪组织试图夺取它。",confirmed-standard,union-activist,handbook-91-union-activist,yes,Investigator Handbook,,map-to-canonical-family,high,
113,111,服务生,服务生,9-20,教育×2＋外貌或敏捷×2,会计，技艺（任一），闪避，聆听，两项社交技能（取悦、话术、恐吓、说服），心理学，任意一项其他个人或时代特长。,yes,"服务生在酒店、酒吧或者其他餐饮业场所服务顾客。通常薪酬很低,不过通过对顾客良好服务, 可以得到他们给的小费。
在禁酒令时期,售酒场所的服务员是非法职业。不过犯罪组织把控的地下酒吧中仍然存在许多工作机会。",confirmed-standard,waiter,handbook-91-92-waitress-waiter,yes,Investigator Handbook,,map-to-canonical-family,high,
114,112,白领工人-职员、主管,职员/主管,9-20,教育×4,会计，语言，法律，图书馆或计算机，聆听，一项社交技能（取悦、话术、恐吓、说服），任意两项其他个人或时代特长。,yes,"白领工人可能是从最低等级的白领职员到中层或高层的管理人员。所属单位则可能从小型中型的本地企业直到大型的国家级甚至跨国公司。
职员被扣工资是家常便饭,工作也往往单调乏味。不过如果在工作中展现出了天分,那也会被看上,将来会得到提拔。",confirmed-standard-variant,white-collar-worker,handbook-91-92-clerk-executive,yes,Investigator Handbook,,map-to-source-variant,high,
115,113,白领工人-中高层管理人员,中层、高层管理人员,20-80,教育×4,会计，外语，法律，两项社交技能（取悦、话术、恐吓、说服），心理学，任意两项其他个人或时代特长。,yes,"白领工人可能是从最低等级的白领职员到中层或高层的管理人员。所属单位则可能从小型中型的本地企业直到大型的国家级甚至跨国公司。
中高层管理人员的工 资比较高,当然责任也比较重,要负责管理公司的日常事务。虽然未婚的白领并不少见,但很多管理人员还是很顾家,家里一般会有配偶和孩子——家庭通常是他们的期望。",confirmed-standard-variant,white-collar-worker,handbook-93-middle-senior-manager,yes,Investigator Handbook,,map-to-source-variant,high,
116,114,狂热者,狂热者,0-30,教育×2＋外貌或意志×2,历史，两项社交技能（取悦、话术、恐吓、说服），心理学，潜行，任意三项其他个人或时代特长。,yes,"热情而有动力、鄙视安逸的生活,狂热者们为人类更好的生活或者为人类中最精华部分的利益而躁动不安。一些狂热者通过暴力推进他们的信仰,但是并不能说采取和平方式的就比他们好说话,他们每个人都梦想着为自己的理想辩护。",confirmed-standard,zealot,handbook-93-zealot,yes,Investigator Handbook,,map-to-canonical-family,high,
117,115,饲养员,饲养员,9-40,教育×4,驯兽，会计，闪避，急救，自然，医学，科学（制药，动物学）。,yes,"饲养员负责动物的喂养和看护,场地管理员和服务员管理其他杂务。通常饲养员会专门照看某一种动物,可以对动物使用「医学」技能。",confirmed-standard,zookeeper,handbook-93-zookeeper,yes,Investigator Handbook,,map-to-canonical-family,high,
118,116,大使,大使,50-90,教育×2＋外貌×2,取悦，历史，恐吓，话术，聆听，母语，说服，心理学。(用一到两种外语取代前面两种技能),yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
119,117,运动员（游泳/潜水）,运动员(游泳/潜水),9-20,教育×2＋力量或敏捷×2,攀爬，跳跃，格斗（斗殴），外语，一项社交技能（取悦、话术、恐吓、说服），游泳，投掷，任意一项其他个人或时代特长。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
120,118,运动员（高尔夫）,运动员(高尔夫),50-70,教育×2＋力量或敏捷×2,攀爬，跳跃，格斗（斗殴），骑术，一项社交技能（取悦、话术、恐吓、说服），游泳，投掷，任意一项其他个人或时代特长。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
121,119,运动员（网球）,运动员(网球),30-70,教育×2＋力量或敏捷×2,跳跃，格斗（斗殴），闪避，一项社交技能（取悦、话术、恐吓、说服），心理学，侦察，投掷，任意一项其他个人或时代特长。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
122,120,运动员（田径）,运动员(田径),9-20,教育×2＋力量或敏捷×2,攀爬，跳跃，格斗（斗殴），外语，一项社交技能（取悦、话术、恐吓、说服），闪避，投掷，任意一项其他个人或时代特长。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
123,121,发言人,发言人,50-80,教育×4,乔装，闪避，三项社交技能（取悦、话术、恐吓、说服），心理学，外语，任意一项其他个人或时代特长。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
124,122,保释担保人,保释担保人,50-80,教育×4,会计，两项社交技能（取悦、话术、恐吓、说服），法律，图书馆，心理学，任意两项其他个人或时代特长。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
125,123,神职人员(天主教牧师),神职人员(天主教牧师),20-70,教育×4,会计，母语，外语(拉丁文)，图书馆，神秘学，一项社交技能（取悦、话术、恐吓、说服），心理学，任意一项其他技能。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
126,124,神职人员(新教牧师),神职人员(新教牧师),9-60,教育×4,会计，历史，图书馆，聆听，外语，一项社交技能（取悦、话术、恐吓、说服），心理学，任意一项其他技能。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
127,125,神职人员(犹太教拉比),神职人员(犹太教拉比),9-60,教育×4,母语，外语（希伯来语），历史，图书馆，神秘学，一项社交技能（取悦、话术、恐吓、说服），心理学，任意一项其他技能。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
128,126,专栏作家,专栏作家,30-70,教育×4,乔装，一项社交技能（取悦、话术、恐吓、说服），历史或图书馆，母语，外语，心理学，潜行。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
129,127,社会主义者/激进主义者,社会主义者/激进主义者,0-30,教育×2＋外貌或意志×2,格斗（斗殴），两项社交技能（取悦、话术、恐吓、说服），射击（手枪），外语，心理学，任意两项其他个人或时代特长。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
130,128,撰稿人,撰稿人,20-60,教育×4,母语，艺术（文学），两项社交技能（取悦、话术、恐吓、说服），历史，图书馆，聆听，心理学。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
131,129,罪犯（赌博庄家）,罪犯(赌博庄家),50-80,教育×2＋敏捷或外貌×2,"会计,两项社交技能（取悦、话术、恐吓、说服）,心理学，侦察，妙手，任意一项其他个人或时代特长。",yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
132,130,罪犯（放高利贷者）,罪犯(放高利贷者),50-80,教育×2＋敏捷或外貌×2,"会计，估价，两项社交技能（取悦、话术、恐吓、说服）,心理学，侦察，任意两项其他个人或时代特长。",yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
133,131,罪犯（扒手）,罪犯(扒手),9-30,教育×2＋敏捷×2,"乔装，一项社交技能（取悦、话术、恐吓、说服）,潜行，聆听，心理学，侦察，妙手，任意一项其他个人或时代特长。",yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
134,132,罪犯（地下钱庄）,罪犯(地下钱庄),30-70,教育×4,会计，法律，图书馆，聆听，说服，侦察，任意其他两项个人或时代特长。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
135,133,罪犯（黑律师）,罪犯(黑律师),30-80,教育×4,会计，法律，图书馆，两项社交技能（取悦、话术、恐吓、说服），心理学，两项其他技能。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
136,134,牙医,牙医,30-70,教育×4,急救、医学、外语（拉丁文）、心理学、科学（生物学，制药），任两种其他学术或个人特长。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
137,135,外科医生/内科医生,外科医生/内科医生,50-80,教育×4,急救、医学、外语（拉丁文）、心理学、科学（生物学，制药），任两种其他学术或个人特长。,yes,《克苏鲁的呼唤调查员伴侣》职业，使用前请征得KP同意。,confirmed-out-of-scope,,,not-applicable,《克苏鲁的呼唤调查员伴侣》职业,,exclude-from-standard,high,Excel explicitly identifies a source outside the frozen Keeper Rulebook + Investigator Handbook Standard boundary.
